payment_id,invoice_id,customer_id,payment_date,payment_amount,payment_mode,days_to_pay,on_time_flag
98,INV-00115,CUS-0372,2022-05-10,894.73,RTGS,26,True
99,INV-00116,CUS-0013,2024-04-24,29072.14,ONLINE,35,False
100,INV-00118,CUS-0104,2023-06-05,2235.46,NEFT,55,True
101,INV-00119,CUS-0195,2023-05-02,8146.4,NEFT,42,True
102,INV-00120,CUS-0012,2022-08-01,28502.62,CHEQUE,42,True
103,INV-00121,CUS-0288,2022-11-22,4550.97,RTGS,58,True
104,INV-00122,CUS-0081,2023-06-11,1750.07,RTGS,50,False
105,INV-00123,CUS-0286,2023-03-06,1643.63,CHEQUE,44,True
106,INV-00124,CUS-0328,2022-06-21,1596.07,RTGS,54,False
107,INV-00126,CUS-0084,2024-05-23,5912.59,RTGS,56,True
108,INV-00127,CUS-0165,2023-12-24,826.65,NEFT,25,True
109,INV-00128,CUS-0310,2023-08-17,6351.04,ONLINE,42,True
110,INV-00129,CUS-0348,2024-03-05,917.59,NEFT,26,True
111,INV-00130,CUS-0011,2024-02-16,1415.32,ONLINE,60,True
112,INV-00131,CUS-0230,2023-10-18,37165.36,CHEQUE,45,True
113,INV-00132,CUS-0420,2024-04-09,2433.51,NEFT,41,True
114,INV-00133,CUS-0396,2023-08-19,7980.77,CHEQUE,43,True
115,INV-00134,CUS-0172,2023-05-12,17003.45,NEFT,40,True
116,INV-00135,CUS-0045,2023-07-26,1612.54,RTGS,58,True
117,INV-00137,CUS-0268,2022-10-20,1312.57,CHEQUE,30,True
118,INV-00138,CUS-0285,2024-03-26,627.3,ONLINE,43,True
119,INV-00139,CUS-0372,2023-11-21,10057.23,ONLINE,27,True
120,INV-00140,CUS-0119,2023-02-13,3727.99,CHEQUE,30,True
121,INV-00142,CUS-0056,2023-09-18,3412.6,ONLINE,30,True
122,INV-00143,CUS-0300,2023-08-31,2811.52,NEFT,30,True
123,INV-00144,CUS-0495,2024-01-19,18073.31,CHEQUE,59,True
124,INV-00145,CUS-0372,2024-01-23,4111.26,RTGS,25,True
125,INV-00146,CUS-0407,2023-08-23,1037.47,CHEQUE,59,True
126,INV-00148,CUS-0153,2022-08-11,459.35,RTGS,56,True
127,INV-00150,CUS-0409,2022-07-13,4828.95,CHEQUE,51,False
128,INV-00151,CUS-0494,2022-06-18,885.26,CHEQUE,68,False
129,INV-00152,CUS-0122,2023-04-06,33834.15,NEFT,43,True
130,INV-00153,CUS-0206,2023-03-30,7533.24,ONLINE,44,True
131,INV-00154,CUS-0025,2024-02-10,5222.67,CHEQUE,25,True
132,INV-00155,CUS-0451,2023-04-17,30453.03,NEFT,42,True
133,INV-00156,CUS-0032,2022-12-10,4856.89,ONLINE,59,True
134,INV-00157,CUS-0450,2022-10-17,15950.9,RTGS,55,True
135,INV-00158,CUS-0121,2022-09-09,140663.16,CHEQUE,42,True
136,INV-00159,CUS-0329,2023-08-26,22373.03,RTGS,78,False
137,INV-00160,CUS-0470,2024-03-18,498.88,NEFT,66,False
138,INV-00161,CUS-0331,2023-09-24,19223.13,ONLINE,56,True
139,INV-00162,CUS-0153,2023-08-26,1927.12,NEFT,60,True
140,INV-00163,CUS-0474,2023-07-18,7504.49,RTGS,60,True
141,INV-00164,CUS-0471,2023-11-05,10532.97,NEFT,40,True
142,INV-00165,CUS-0069,2024-01-19,36421.06,ONLINE,57,True
143,INV-00166,CUS-0450,2023-01-01,7347.09,NEFT,57,True
144,INV-00167,CUS-0142,2023-05-30,25045.74,CHEQUE,57,False
145,INV-00168,CUS-0073,2023-02-13,18204.03,RTGS,30,True
146,INV-00169,CUS-0325,2022-07-12,1559.12,NEFT,39,False
147,INV-00171,CUS-0267,2023-12-25,3183.34,RTGS,60,False
148,INV-00172,CUS-0016,2024-05-28,853.4,ONLINE,60,True
149,INV-00173,CUS-0497,2022-08-19,955.02,NEFT,40,False
150,INV-00174,CUS-0129,2022-05-21,6505.74,ONLINE,26,True
151,INV-00175,CUS-0169,2022-08-16,315.76,RTGS,29,True
152,INV-00177,CUS-0419,2023-05-19,7114.15,ONLINE,59,True
153,INV-00178,CUS-0251,2023-11-27,7804.45,RTGS,60,True
154,INV-00179,CUS-0267,2023-01-10,399.98,ONLINE,45,True
155,INV-00180,CUS-0234,2022-07-01,96820.53,NEFT,26,True
156,INV-00181,CUS-0462,2022-08-28,2416.35,ONLINE,59,True
157,INV-00182,CUS-0078,2022-11-12,6374.05,RTGS,41,True
158,INV-00183,CUS-0462,2024-02-09,616.12,CHEQUE,57,True
159,INV-00184,CUS-0146,2022-11-27,21452.51,ONLINE,61,False
160,INV-00185,CUS-0091,2023-06-11,13689.87,ONLINE,29,True
161,INV-00186,CUS-0254,2023-05-13,637.94,RTGS,41,True
162,INV-00187,CUS-0361,2023-01-04,4754.54,ONLINE,57,False
163,INV-00188,CUS-0186,2023-06-07,68795.74,NEFT,40,True
164,INV-00189,CUS-0353,2022-08-06,43037.07,NEFT,28,True
165,INV-00191,CUS-0162,2024-02-14,505.31,CHEQUE,27,True
166,INV-00192,CUS-0201,2024-03-14,1354.11,NEFT,43,True
167,INV-00193,CUS-0224,2023-08-29,805.53,RTGS,29,True
168,INV-00194,CUS-0315,2022-09-12,1977.56,ONLINE,59,True
169,INV-00196,CUS-0252,2023-08-14,29183.99,RTGS,50,False
170,INV-00197,CUS-0207,2023-11-30,3538.96,CHEQUE,60,True
171,INV-00198,CUS-0050,2023-07-10,11165.44,CHEQUE,42,True
172,INV-00199,CUS-0160,2024-03-27,4636.65,NEFT,40,True
173,INV-00200,CUS-0271,2023-09-11,6870.49,RTGS,47,False
174,INV-00201,CUS-0197,2023-07-02,2890.7,RTGS,29,True
175,INV-00202,CUS-0108,2023-09-03,1390.71,CHEQUE,63,False
176,INV-00203,CUS-0232,2022-07-04,366.12,RTGS,25,True
177,INV-00204,CUS-0419,2022-10-28,852.98,RTGS,78,False
178,INV-00205,CUS-0467,2023-08-01,5266.76,CHEQUE,41,True
179,INV-00206,CUS-0393,2023-02-23,3432.15,ONLINE,43,True
180,INV-00207,CUS-0025,2023-07-28,5508.16,ONLINE,28,True
181,INV-00208,CUS-0472,2022-07-30,386.09,ONLINE,25,True
182,INV-00209,CUS-0297,2023-09-21,1144.47,CHEQUE,42,True
183,INV-00210,CUS-0270,2022-08-06,407.63,NEFT,56,True
184,INV-00211,CUS-0469,2023-12-17,2646.08,NEFT,44,True
185,INV-00212,CUS-0167,2022-07-10,2753.14,NEFT,25,True
186,INV-00213,CUS-0262,2023-06-09,6027.62,CHEQUE,58,True
187,INV-00214,CUS-0187,2022-05-18,4546.12,CHEQUE,26,True
188,INV-00216,CUS-0268,2023-06-17,1444.04,RTGS,25,True
189,INV-00217,CUS-0325,2023-10-31,2449.86,NEFT,25,True
190,INV-00218,CUS-0355,2022-09-23,312.54,NEFT,49,False
191,INV-00219,CUS-0100,2022-11-12,2563.77,ONLINE,41,False
192,INV-00221,CUS-0251,2023-08-07,9353.17,NEFT,56,True
193,INV-00222,CUS-0420,2023-12-07,841.99,CHEQUE,45,True
194,INV-00223,CUS-0422,2023-06-03,19152.13,ONLINE,44,True
195,INV-00225,CUS-0018,2022-05-28,1923.93,CHEQUE,27,True
196,INV-00226,CUS-0478,2023-01-11,2003.08,CHEQUE,26,True
197,INV-00227,CUS-0047,2022-06-12,10522.27,RTGS,56,True
198,INV-00228,CUS-0298,2022-10-01,2135.74,RTGS,29,True
199,INV-00229,CUS-0474,2023-06-25,5050.02,NEFT,55,True
200,INV-00230,CUS-0379,2023-06-28,1348.25,NEFT,42,True
201,INV-00231,CUS-0274,2022-08-18,49048.8,RTGS,74,False
202,INV-00232,CUS-0267,2023-09-12,2887.27,RTGS,41,True
203,INV-00234,CUS-0289,2022-10-04,5317.31,CHEQUE,60,False
204,INV-00235,CUS-0393,2023-07-03,11112.01,NEFT,40,True
205,INV-00236,CUS-0413,2023-01-15,4446.73,NEFT,41,True
206,INV-00237,CUS-0488,2022-12-06,753.05,ONLINE,60,True
207,INV-00238,CUS-0434,2023-12-17,8780.15,CHEQUE,29,True
208,INV-00239,CUS-0312,2022-09-10,16708.54,ONLINE,41,True
209,INV-00240,CUS-0249,2023-11-30,3363.84,RTGS,25,True
210,INV-00241,CUS-0048,2024-02-15,31463.04,ONLINE,59,True
211,INV-00242,CUS-0346,2022-10-12,5046.53,CHEQUE,60,True
212,INV-00243,CUS-0217,2023-05-02,192.6,NEFT,55,True
213,INV-00244,CUS-0030,2022-09-25,78527.66,ONLINE,25,True
214,INV-00245,CUS-0291,2023-09-09,49503.75,ONLINE,55,True
215,INV-00246,CUS-0331,2023-10-22,752.77,RTGS,78,False
216,INV-00247,CUS-0308,2022-06-09,8446.85,RTGS,42,True
217,INV-00249,CUS-0254,2022-05-20,3982.07,CHEQUE,40,True
218,INV-00250,CUS-0191,2024-04-18,9427.4,CHEQUE,28,True
219,INV-00251,CUS-0162,2022-08-19,7864.01,NEFT,25,True
220,INV-00253,CUS-0151,2022-05-22,1169.26,ONLINE,27,True
221,INV-00254,CUS-0097,2023-01-14,9888.32,RTGS,55,True
222,INV-00255,CUS-0157,2022-06-15,1999.41,ONLINE,27,True
223,INV-00256,CUS-0143,2023-02-02,1676.91,RTGS,44,True
224,INV-00257,CUS-0235,2022-09-15,58941.75,RTGS,40,True
225,INV-00258,CUS-0477,2022-07-23,1414.14,NEFT,41,True
226,INV-00259,CUS-0388,2024-02-07,8389.35,CHEQUE,25,True
227,INV-00261,CUS-0379,2024-02-26,584.99,ONLINE,59,False
228,INV-00262,CUS-0056,2024-02-02,1924.8,RTGS,25,True
229,INV-00263,CUS-0255,2023-06-18,8177.4,RTGS,44,True
230,INV-00264,CUS-0113,2022-11-13,6359.09,NEFT,44,True
231,INV-00266,CUS-0434,2024-04-23,1830.82,RTGS,27,True
232,INV-00267,CUS-0129,2023-05-28,28858.36,NEFT,29,True
233,INV-00268,CUS-0116,2023-05-18,3006.84,RTGS,44,False
234,INV-00269,CUS-0279,2023-04-01,1351.58,ONLINE,42,True
235,INV-00270,CUS-0170,2023-05-31,6181.78,ONLINE,59,False
236,INV-00271,CUS-0326,2024-05-18,8464.83,ONLINE,73,False
237,INV-00272,CUS-0341,2023-08-19,870.56,NEFT,30,True
238,INV-00273,CUS-0393,2024-01-24,1175.62,CHEQUE,41,True
239,INV-00274,CUS-0144,2023-05-16,2346.31,RTGS,28,True
240,INV-00275,CUS-0447,2024-05-09,534.31,ONLINE,41,True
241,INV-00277,CUS-0024,2022-10-22,2584.39,ONLINE,40,True
242,INV-00278,CUS-0496,2024-03-26,1408.87,RTGS,30,True
243,INV-00279,CUS-0449,2023-04-07,598.43,RTGS,33,False
244,INV-00280,CUS-0110,2023-12-06,805.54,ONLINE,30,True
245,INV-00281,CUS-0483,2023-05-15,3118.7,ONLINE,30,True
246,INV-00282,CUS-0491,2022-09-17,12004.38,RTGS,45,True
247,INV-00283,CUS-0394,2022-10-08,943.02,ONLINE,44,True
248,INV-00284,CUS-0082,2023-01-12,3206.5,RTGS,40,True
249,INV-00285,CUS-0448,2022-08-18,8139.52,CHEQUE,59,True
250,INV-00286,CUS-0117,2023-09-08,3909.86,ONLINE,27,True
251,INV-00287,CUS-0241,2024-01-22,1185.9,ONLINE,56,True
252,INV-00288,CUS-0019,2023-05-05,25034.15,CHEQUE,26,True
253,INV-00289,CUS-0266,2024-02-12,4394.25,RTGS,26,True
254,INV-00290,CUS-0067,2022-11-02,57432.97,RTGS,55,True
255,INV-00291,CUS-0023,2023-10-15,825.17,NEFT,82,False
256,INV-00292,CUS-0414,2024-01-28,13207.45,CHEQUE,57,True
257,INV-00293,CUS-0085,2024-04-30,6325.37,CHEQUE,55,True
258,INV-00295,CUS-0157,2023-12-30,977.74,NEFT,27,True
259,INV-00296,CUS-0122,2023-06-21,8871.23,CHEQUE,44,True
260,INV-00297,CUS-0039,2023-07-07,906.65,NEFT,41,True
261,INV-00298,CUS-0029,2022-12-27,1921.04,CHEQUE,40,True
262,INV-00299,CUS-0192,2023-03-19,17265.06,RTGS,28,True
263,INV-00304,CUS-0152,2022-10-10,1671.02,NEFT,43,True
264,INV-00306,CUS-0183,2023-07-25,681.0,NEFT,26,True
265,INV-00307,CUS-0148,2024-05-03,5738.58,RTGS,71,False
266,INV-00308,CUS-0399,2023-12-28,8703.21,NEFT,58,True
267,INV-00309,CUS-0409,2024-02-18,29618.55,CHEQUE,46,False
268,INV-00310,CUS-0336,2023-10-02,1047.79,CHEQUE,42,True
269,INV-00311,CUS-0369,2023-12-14,13255.67,CHEQUE,46,False
270,INV-00312,CUS-0124,2022-09-07,5827.8,CHEQUE,44,True
271,INV-00314,CUS-0095,2024-03-29,4555.15,NEFT,30,True
272,INV-00315,CUS-0484,2022-06-03,2638.88,CHEQUE,30,True
273,INV-00316,CUS-0278,2023-04-03,332.82,RTGS,55,False
274,INV-00317,CUS-0187,2024-01-10,2231.91,ONLINE,30,True
275,INV-00318,CUS-0282,2023-12-03,3579.84,CHEQUE,57,True
276,INV-00320,CUS-0276,2023-10-30,10591.08,NEFT,45,True
277,INV-00321,CUS-0146,2022-12-19,51374.43,CHEQUE,40,True
278,INV-00323,CUS-0470,2023-05-24,3730.37,NEFT,60,True
279,INV-00324,CUS-0217,2022-07-17,2251.13,RTGS,58,True
280,INV-00325,CUS-0036,2022-12-03,6130.46,NEFT,28,True
281,INV-00326,CUS-0424,2023-01-08,462.04,NEFT,29,True
282,INV-00328,CUS-0135,2022-06-04,7648.36,RTGS,26,True
283,INV-00330,CUS-0355,2023-01-04,2779.04,NEFT,28,True
284,INV-00331,CUS-0460,2023-07-04,25519.66,ONLINE,42,True
285,INV-00332,CUS-0032,2022-08-15,7015.14,ONLINE,57,True
286,INV-00333,CUS-0006,2022-11-26,3736.69,NEFT,28,True
287,INV-00335,CUS-0219,2022-06-06,5471.55,ONLINE,55,True
288,INV-00336,CUS-0314,2023-11-14,1759.87,RTGS,81,False
289,INV-00338,CUS-0214,2024-01-21,2274.46,CHEQUE,43,False
290,INV-00339,CUS-0336,2022-07-29,2406.07,NEFT,45,True
291,INV-00340,CUS-0053,2023-12-15,2380.54,CHEQUE,57,True
292,INV-00341,CUS-0477,2022-08-03,2062.69,NEFT,44,True
293,INV-00342,CUS-0137,2022-11-12,2202.1,ONLINE,55,True
294,INV-00343,CUS-0422,2024-03-15,4856.85,RTGS,42,True
295,INV-00345,CUS-0209,2022-06-12,1457.55,CHEQUE,25,True
296,INV-00346,CUS-0148,2023-01-09,14201.27,ONLINE,59,True
297,INV-00347,CUS-0081,2023-11-02,8293.95,NEFT,26,True
298,INV-00348,CUS-0492,2024-01-09,2039.63,NEFT,44,True
299,INV-00349,CUS-0484,2022-12-21,335.15,ONLINE,25,True
300,INV-00350,CUS-0089,2023-01-30,26378.88,RTGS,60,True
301,INV-00351,CUS-0064,2023-11-17,8318.99,RTGS,59,False
302,INV-00352,CUS-0448,2023-04-11,2977.95,RTGS,58,True
303,INV-00353,CUS-0022,2022-09-14,50225.49,ONLINE,58,True
304,INV-00354,CUS-0479,2024-03-07,20956.72,ONLINE,43,True
305,INV-00355,CUS-0084,2022-10-15,24681.12,NEFT,58,True
306,INV-00356,CUS-0292,2022-08-02,1915.46,CHEQUE,41,True
307,INV-00358,CUS-0269,2023-09-12,1198.59,ONLINE,42,True
308,INV-00359,CUS-0465,2022-07-31,1550.44,ONLINE,56,True
309,INV-00360,CUS-0369,2022-08-05,5309.43,ONLINE,41,True
310,INV-00361,CUS-0358,2024-03-29,51353.63,NEFT,40,True
311,INV-00362,CUS-0315,2023-08-15,9984.87,ONLINE,60,True
312,INV-00365,CUS-0183,2023-07-30,230.43,CHEQUE,27,True
313,INV-00366,CUS-0380,2023-10-29,343.23,RTGS,42,True
314,INV-00367,CUS-0444,2022-06-22,5043.74,NEFT,69,False
315,INV-00369,CUS-0244,2022-12-24,4606.95,CHEQUE,42,True
316,INV-00370,CUS-0020,2022-11-25,2238.9,ONLINE,60,True
317,INV-00371,CUS-0349,2023-12-05,1410.97,NEFT,25,True
318,INV-00372,CUS-0186,2023-03-23,13359.44,ONLINE,63,False
319,INV-00373,CUS-0137,2023-09-04,1881.15,CHEQUE,57,True
320,INV-00375,CUS-0084,2023-01-14,1196.86,NEFT,55,True
321,INV-00376,CUS-0150,2022-10-15,2370.54,CHEQUE,41,True
322,INV-00377,CUS-0123,2024-03-15,1385.47,ONLINE,41,True
323,INV-00378,CUS-0215,2024-02-09,905.28,CHEQUE,26,True
324,INV-00379,CUS-0272,2023-08-06,192.43,NEFT,43,True
325,INV-00380,CUS-0335,2023-07-14,2031.04,ONLINE,56,True
326,INV-00381,CUS-0033,2022-11-21,11704.65,ONLINE,29,True
327,INV-00382,CUS-0104,2023-04-05,603.13,NEFT,56,True
328,INV-00384,CUS-0078,2022-06-28,1783.66,ONLINE,42,True
329,INV-00385,CUS-0221,2023-08-30,35049.86,NEFT,59,True
330,INV-00386,CUS-0353,2023-03-25,11707.4,ONLINE,30,True
331,INV-00387,CUS-0292,2023-07-18,32968.33,ONLINE,43,True
332,INV-00388,CUS-0227,2023-06-02,1867.47,RTGS,27,True
333,INV-00389,CUS-0480,2022-09-13,8968.83,ONLINE,27,True
334,INV-00390,CUS-0291,2023-01-08,37117.73,CHEQUE,58,True
335,INV-00392,CUS-0379,2023-01-18,3907.94,ONLINE,43,True
336,INV-00393,CUS-0045,2023-01-16,395.38,CHEQUE,55,True
337,INV-00395,CUS-0047,2023-12-15,5814.51,ONLINE,87,False
338,INV-00396,CUS-0090,2023-09-06,4535.41,RTGS,45,True
339,INV-00398,CUS-0279,2024-05-10,709.78,NEFT,45,True
340,INV-00399,CUS-0115,2024-02-06,8930.9,RTGS,56,True
341,INV-00400,CUS-0392,2023-01-28,5477.99,CHEQUE,83,False
342,INV-00401,CUS-0030,2023-01-06,18129.67,ONLINE,30,True
343,INV-00402,CUS-0071,2024-03-22,15528.58,RTGS,67,False
344,INV-00403,CUS-0422,2023-01-18,826.46,ONLINE,43,True
345,INV-00404,CUS-0303,2023-08-30,2069.48,RTGS,32,False
346,INV-00405,CUS-0233,2022-12-23,21668.5,RTGS,27,True
347,INV-00406,CUS-0362,2023-07-08,2138.8,RTGS,30,True
348,INV-00407,CUS-0467,2023-08-12,3775.95,NEFT,45,True
349,INV-00408,CUS-0106,2023-03-23,1523.87,NEFT,60,True
350,INV-00409,CUS-0039,2022-08-26,6038.96,ONLINE,50,False
351,INV-00410,CUS-0074,2024-02-05,24281.29,NEFT,25,True
352,INV-00411,CUS-0182,2024-04-23,9714.32,ONLINE,57,True
353,INV-00412,CUS-0318,2022-10-24,19193.24,ONLINE,60,True
354,INV-00414,CUS-0428,2023-10-02,2294.0,ONLINE,43,True
355,INV-00415,CUS-0296,2023-01-04,5248.23,CHEQUE,25,True
356,INV-00416,CUS-0135,2023-11-17,18836.53,RTGS,27,True
357,INV-00417,CUS-0499,2024-02-19,872.71,ONLINE,57,True
358,INV-00418,CUS-0359,2023-08-28,988.95,NEFT,51,False
359,INV-00420,CUS-0312,2023-06-27,13676.69,ONLINE,45,True
360,INV-00421,CUS-0199,2023-10-24,863.43,ONLINE,41,True
361,INV-00423,CUS-0297,2022-07-27,2725.42,NEFT,40,True
362,INV-00424,CUS-0482,2024-04-08,2383.27,RTGS,55,True
363,INV-00426,CUS-0442,2024-03-01,1057.77,RTGS,45,True
364,INV-00428,CUS-0368,2023-02-13,2796.03,RTGS,72,False
365,INV-00429,CUS-0384,2022-08-05,16892.73,ONLINE,45,True
366,INV-00430,CUS-0296,2022-11-07,402.75,RTGS,26,True
367,INV-00431,CUS-0358,2023-12-18,22542.87,NEFT,40,True
368,INV-00433,CUS-0420,2023-09-10,788.33,CHEQUE,44,True
369,INV-00434,CUS-0313,2022-05-31,1133.5,RTGS,58,True
370,INV-00435,CUS-0104,2023-11-11,7991.62,RTGS,56,True
371,INV-00436,CUS-0151,2022-11-26,8460.1,ONLINE,32,False
372,INV-00437,CUS-0236,2023-04-16,3225.31,NEFT,60,True
373,INV-00438,CUS-0263,2022-06-25,1144.81,ONLINE,60,True
374,INV-00439,CUS-0063,2023-02-21,10417.35,ONLINE,44,True
375,INV-00440,CUS-0246,2022-08-16,4768.93,ONLINE,36,False
376,INV-00441,CUS-0126,2022-08-17,1060.04,ONLINE,60,True
377,INV-00442,CUS-0420,2023-04-11,8035.83,NEFT,44,True
378,INV-00443,CUS-0048,2022-12-06,6418.1,RTGS,56,True
379,INV-00444,CUS-0365,2023-07-20,8561.39,ONLINE,52,False
380,INV-00445,CUS-0365,2023-05-24,3754.87,CHEQUE,51,False
