customer_id,customer_name,customer_segment,industry,city,credit_limit,credit_days,customer_risk_tier,relationship_since
CUS-0070,Dubey-Comar,ENTERPRISE,MANUFACTURING,Delhi,22730911.54,30,MEDIUM,2024-02-23
CUS-0071,Bera-Khurana,ENTERPRISE,IT,Hyderabad,22059673.89,45,MEDIUM,2022-06-23
CUS-0072,"Srivastava, Narayan and Bhandari",ENTERPRISE,RETAIL,Mumbai,8685780.47,60,HIGH,2023-07-16
CUS-0073,Murty-Badami,ENTERPRISE,BFSI,Bangalore,48077852.12,30,LOW,2022-05-16
CUS-0074,Sekhon Group,ENTERPRISE,RETAIL,Hyderabad,26310247.74,30,LOW,2024-07-11
CUS-0075,Peri-Ganguly,SME,RETAIL,Chennai,3732607.53,60,LOW,2021-06-30
CUS-0076,Thakur and Sons,ENTERPRISE,MANUFACTURING,Chennai,19038076.0,60,LOW,2025-02-14
CUS-0077,Nagi-Bhat,SME,PHARMA,Chennai,958555.87,60,MEDIUM,2023-09-01
CUS-0078,"Bhasin, Master and Ravi",SME,RETAIL,Chennai,2427701.06,45,LOW,2021-10-14
CUS-0079,Batra-Sem,STARTUP,MANUFACTURING,Delhi,354234.04,30,MEDIUM,2024-01-25
CUS-0080,"Arya, Banerjee and Gill",SME,IT,Delhi,1715370.78,45,LOW,2021-12-31
CUS-0081,"Gopal, Gour and Shenoy",STARTUP,RETAIL,Delhi,198198.07,30,HIGH,2021-09-07
CUS-0082,Raghavan-Dora,SME,RETAIL,Mumbai,3506848.12,45,LOW,2021-12-04
CUS-0083,"Sachdeva, Taneja and Mitra",ENTERPRISE,RETAIL,Bangalore,40902456.06,30,MEDIUM,2022-08-05
CUS-0084,Thaman PLC,SME,MANUFACTURING,Delhi,1586102.23,60,LOW,2023-01-08
CUS-0085,Comar Group,SME,MANUFACTURING,Hyderabad,577594.67,60,LOW,2025-05-06
CUS-0086,Kashyap-Palla,SME,RETAIL,Hyderabad,2889148.69,60,MEDIUM,2022-07-03
CUS-0087,Bajaj LLC,SME,PHARMA,Mumbai,1537421.19,30,LOW,2022-05-25
CUS-0088,Palla-Gill,ENTERPRISE,RETAIL,Chennai,26788936.42,30,LOW,2021-09-16
CUS-0089,Palla-Mann,ENTERPRISE,BFSI,Chennai,21239648.11,60,LOW,2025-03-01
CUS-0090,Prabhu Ltd,ENTERPRISE,BFSI,Bangalore,47484032.67,45,LOW,2024-08-07
CUS-0091,Pau and Sons,SME,IT,Chennai,1329636.52,30,HIGH,2024-03-02
CUS-0092,"Vohra, Mitra and Kala",SME,PHARMA,Hyderabad,3332505.68,30,LOW,2022-04-07
CUS-0093,Bajwa Inc,STARTUP,MANUFACTURING,Bangalore,342527.06,45,MEDIUM,2023-12-26
CUS-0094,Barman and Sons,SME,PHARMA,Chennai,4370750.0,60,LOW,2024-07-04
CUS-0095,Datta-Pradhan,STARTUP,BFSI,Mumbai,350206.01,30,LOW,2023-09-09
CUS-0096,"Patla, Majumdar and Lalla",ENTERPRISE,RETAIL,Chennai,8377919.1,30,LOW,2022-09-21
CUS-0097,Bhatti LLC,ENTERPRISE,RETAIL,Bangalore,17722326.79,60,LOW,2024-01-17
CUS-0098,Ahuja-Mandal,STARTUP,RETAIL,Mumbai,189923.78,30,LOW,2024-07-17
CUS-0099,Bhagat-Natt,ENTERPRISE,IT,Chennai,40668285.48,45,HIGH,2023-10-24
CUS-0100,"Chaudhuri, Bali and Goswami",SME,BFSI,Bangalore,4742043.08,30,LOW,2024-07-16
CUS-0101,"Joshi, Om and Samra",STARTUP,PHARMA,Bangalore,110345.96,30,LOW,2023-09-20
CUS-0102,"Singhal, Merchant and Mishra",STARTUP,IT,Bangalore,116092.67,60,MEDIUM,2024-05-28
CUS-0103,Chaudhary LLC,SME,BFSI,Delhi,4986254.64,45,MEDIUM,2023-04-27
CUS-0104,Goswami Ltd,SME,IT,Hyderabad,970699.48,60,LOW,2022-01-18
CUS-0105,Mukherjee Ltd,STARTUP,RETAIL,Chennai,281930.36,45,LOW,2021-12-01
CUS-0106,"Butala, Krishnamurthy and Kaur",STARTUP,BFSI,Mumbai,447746.99,60,LOW,2025-03-30
CUS-0107,Dhingra PLC,SME,PHARMA,Mumbai,3314339.34,45,LOW,2022-09-10
CUS-0108,Batra PLC,SME,MANUFACTURING,Mumbai,1046417.38,45,MEDIUM,2021-10-09
CUS-0109,Gera-Halder,SME,IT,Chennai,919441.41,60,HIGH,2024-12-08
CUS-0110,Rana-Patla,STARTUP,IT,Delhi,303548.81,30,LOW,2025-01-10
CUS-0111,Barman Ltd,SME,MANUFACTURING,Chennai,1357746.67,45,MEDIUM,2024-08-17
CUS-0112,Sachdev-Bhatia,SME,BFSI,Hyderabad,2029438.59,60,LOW,2023-11-28
CUS-0113,"Jain, Shah and Ahluwalia",ENTERPRISE,PHARMA,Delhi,31412197.51,45,LOW,2023-02-20
CUS-0114,Borah Group,SME,MANUFACTURING,Bangalore,2197445.24,45,MEDIUM,2024-05-05
CUS-0115,Pandit and Sons,ENTERPRISE,IT,Delhi,39899501.38,60,MEDIUM,2023-10-03
CUS-0116,Iyer-Gaba,SME,PHARMA,Hyderabad,1184473.94,30,LOW,2021-10-26
CUS-0117,"Ahluwalia, Kashyap and Naik",STARTUP,IT,Mumbai,282771.23,30,MEDIUM,2025-02-21
CUS-0118,"Gandhi, Dani and Tailor",SME,RETAIL,Bangalore,2023525.55,45,MEDIUM,2022-04-05
CUS-0119,Mallick-Sabharwal,STARTUP,PHARMA,Chennai,295178.99,30,LOW,2023-08-30
CUS-0120,Patil Inc,SME,BFSI,Chennai,4988416.65,45,LOW,2025-02-19
CUS-0121,"Ahluwalia, Dash and Acharya",ENTERPRISE,RETAIL,Hyderabad,18475973.61,45,LOW,2023-08-02
CUS-0122,"Date, Sur and Vyas",ENTERPRISE,BFSI,Bangalore,28902484.32,45,LOW,2023-05-04
CUS-0123,Pandya-Dhillon,SME,RETAIL,Delhi,4607730.57,45,LOW,2024-05-21
CUS-0124,"Nagar, Taneja and Arora",SME,BFSI,Delhi,2593639.65,45,LOW,2022-12-07
CUS-0125,"Nigam, Jha and Gulati",STARTUP,RETAIL,Mumbai,376125.4,45,LOW,2025-03-02
CUS-0126,Uppal-Lad,STARTUP,RETAIL,Chennai,243583.66,60,LOW,2024-08-11
CUS-0127,"Sahni, Prasad and Bhasin",SME,PHARMA,Delhi,4392803.29,45,HIGH,2022-07-08
CUS-0128,Lal-Nagi,SME,RETAIL,Mumbai,4108693.81,60,LOW,2022-12-06
CUS-0129,Mahajan Ltd,ENTERPRISE,RETAIL,Mumbai,33235614.85,30,LOW,2023-02-18
CUS-0130,Srivastava Group,STARTUP,RETAIL,Bangalore,180317.92,60,MEDIUM,2022-07-17
CUS-0131,Chandra-Swaminathan,STARTUP,RETAIL,Hyderabad,429875.93,30,LOW,2023-07-21
CUS-0132,Bandi and Sons,SME,IT,Bangalore,3893681.72,45,MEDIUM,2025-03-31
CUS-0133,Ghose-Dalal,ENTERPRISE,RETAIL,Bangalore,22755855.21,45,LOW,2023-04-08
CUS-0134,Varghese-Agarwal,STARTUP,PHARMA,Hyderabad,193528.76,60,LOW,2022-06-13
CUS-0135,"Butala, Dara and Jani",ENTERPRISE,IT,Chennai,7844766.85,30,LOW,2022-06-26
CUS-0136,Sagar-Swamy,ENTERPRISE,PHARMA,Mumbai,6674545.77,45,LOW,2021-06-04
CUS-0137,Virk Inc,SME,MANUFACTURING,Delhi,3844130.55,60,LOW,2024-08-17
CUS-0138,Soman and Sons,ENTERPRISE,RETAIL,Mumbai,27020616.7,45,LOW,2023-06-05
CUS-0139,Goyal and Sons,SME,RETAIL,Chennai,2132087.17,45,LOW,2024-08-10
CUS-0140,Madan Group,ENTERPRISE,MANUFACTURING,Bangalore,48569309.42,30,LOW,2025-05-14
CUS-0141,Kaur-Kala,ENTERPRISE,PHARMA,Mumbai,20007912.04,60,LOW,2023-08-27
CUS-0142,Sengupta-Barad,ENTERPRISE,BFSI,Hyderabad,44136294.2,30,HIGH,2022-12-29
CUS-0143,"Pal, Varughese and Dutt",STARTUP,MANUFACTURING,Chennai,143970.54,45,MEDIUM,2023-10-23
CUS-0144,"Prabhu, Keer and Vasa",SME,IT,Bangalore,1956971.58,30,LOW,2024-05-22
CUS-0145,"Oza, Chatterjee and Jaggi",SME,PHARMA,Mumbai,4001076.68,60,LOW,2023-02-09
CUS-0146,"Kurian, Sandhu and Bose",ENTERPRISE,BFSI,Chennai,40245214.82,45,LOW,2021-09-08
CUS-0147,Deshpande Group,STARTUP,BFSI,Hyderabad,384960.53,60,LOW,2023-03-28
CUS-0148,Chhabra Ltd,ENTERPRISE,IT,Bangalore,10678621.47,60,MEDIUM,2025-03-05
CUS-0149,"Ghosh, Shan and Iyer",ENTERPRISE,PHARMA,Mumbai,27749798.35,45,LOW,2025-05-14
CUS-0150,Dey and Sons,SME,BFSI,Hyderabad,2025192.28,45,LOW,2022-05-18
CUS-0151,Raval-Edwin,SME,BFSI,Chennai,4791166.33,30,LOW,2024-03-19
CUS-0152,"Shere, Bumb and Bhakta",SME,PHARMA,Bangalore,2176910.87,45,LOW,2024-06-14
CUS-0153,Nazareth-Dada,SME,BFSI,Hyderabad,4431233.18,60,LOW,2024-03-08
CUS-0154,"Choudhary, Kalita and Brar",SME,BFSI,Hyderabad,2783356.46,60,LOW,2024-11-10
CUS-0155,Setty and Sons,SME,PHARMA,Bangalore,3083450.02,60,MEDIUM,2025-04-14
CUS-0156,"Ahluwalia, Hayre and Ramachandran",SME,MANUFACTURING,Hyderabad,4680879.31,60,LOW,2024-03-02
CUS-0157,Dani Group,SME,IT,Chennai,2079605.39,30,LOW,2023-01-29
CUS-0158,Chowdhury Ltd,SME,IT,Hyderabad,912909.57,30,LOW,2022-11-11
CUS-0159,Wagle Inc,SME,BFSI,Mumbai,3995760.29,30,LOW,2023-07-24
CUS-0160,"Morar, Pant and Bedi",SME,PHARMA,Delhi,867116.87,45,LOW,2025-05-24
CUS-0161,"Badami, Gaba and Pingle",ENTERPRISE,PHARMA,Delhi,38972441.47,60,LOW,2024-07-03
CUS-0162,Ram-Oak,SME,RETAIL,Mumbai,2278685.28,30,LOW,2022-06-05
CUS-0163,"Balakrishnan, Hayre and Bose",SME,MANUFACTURING,Delhi,1039929.55,60,LOW,2021-07-06
CUS-0164,"Vora, Garg and Brar",SME,BFSI,Delhi,4250093.91,30,LOW,2022-02-13
CUS-0165,Lala PLC,SME,IT,Hyderabad,1908772.84,30,LOW,2024-01-27
CUS-0166,"Ahluwalia, Garg and Dixit",SME,RETAIL,Chennai,1273429.31,45,LOW,2023-08-24
CUS-0167,Keer-Mand,STARTUP,RETAIL,Hyderabad,309585.02,30,LOW,2023-04-16
CUS-0168,Chander-Shukla,SME,RETAIL,Hyderabad,2797174.78,60,LOW,2022-01-25
CUS-0169,Anne Inc,STARTUP,MANUFACTURING,Bangalore,141121.81,30,LOW,2022-08-17
CUS-0170,Solanki-Comar,SME,PHARMA,Bangalore,1297157.58,45,LOW,2022-04-16
CUS-0171,"Agate, Choudhary and Naidu",SME,RETAIL,Mumbai,3393463.24,45,LOW,2024-01-05
CUS-0172,Rao-Borde,ENTERPRISE,PHARMA,Chennai,24899362.87,45,LOW,2024-07-10
CUS-0173,"Sengupta, Johal and Dhar",SME,BFSI,Bangalore,2159319.2,60,MEDIUM,2022-02-18
CUS-0174,Mody Group,SME,IT,Bangalore,2994423.67,60,MEDIUM,2024-01-14
CUS-0175,Grover-Krish,ENTERPRISE,RETAIL,Chennai,32225262.53,60,LOW,2022-06-18
CUS-0176,Kari Ltd,SME,PHARMA,Mumbai,3684297.67,45,LOW,2022-02-09
CUS-0177,Vala-Amble,SME,RETAIL,Chennai,2339462.29,45,LOW,2022-01-15
CUS-0178,Ramaswamy LLC,ENTERPRISE,PHARMA,Mumbai,35527070.52,45,MEDIUM,2022-05-11
CUS-0179,Sen-Handa,ENTERPRISE,IT,Mumbai,34862544.77,60,MEDIUM,2022-03-29
CUS-0180,"Tripathi, Gulati and Mittal",SME,MANUFACTURING,Bangalore,3015149.32,30,LOW,2024-04-02
CUS-0181,Sem-Sani,SME,MANUFACTURING,Hyderabad,2128226.43,45,LOW,2024-10-09
CUS-0182,Luthra Ltd,ENTERPRISE,PHARMA,Bangalore,49998947.95,60,MEDIUM,2021-10-22
CUS-0183,Kari PLC,STARTUP,IT,Mumbai,406523.04,30,LOW,2022-08-12
CUS-0184,Chatterjee Ltd,ENTERPRISE,BFSI,Delhi,36178053.84,45,MEDIUM,2025-05-11
CUS-0185,"Kapadia, Koshy and Aggarwal",SME,IT,Mumbai,2498894.19,60,MEDIUM,2024-07-12
CUS-0186,"Sen, Ramanathan and Chandran",ENTERPRISE,PHARMA,Delhi,48451848.67,45,LOW,2024-11-16
CUS-0187,"Venkatesh, Parsa and Khosla",SME,MANUFACTURING,Bangalore,2763080.11,30,LOW,2024-02-01
CUS-0188,Prashad-Sane,STARTUP,PHARMA,Chennai,248484.84,45,HIGH,2022-07-21
CUS-0189,Rana-Sharaf,ENTERPRISE,BFSI,Mumbai,12214055.04,45,MEDIUM,2023-05-27
CUS-0190,Soni Group,STARTUP,IT,Chennai,258581.59,45,LOW,2025-05-19
CUS-0191,Sama-Ramanathan,ENTERPRISE,MANUFACTURING,Mumbai,19340819.4,30,LOW,2022-03-23
CUS-0192,Parmar and Sons,ENTERPRISE,IT,Bangalore,42339271.24,30,MEDIUM,2022-04-13
CUS-0193,"Badami, Aggarwal and Badal",STARTUP,PHARMA,Bangalore,159807.85,45,HIGH,2022-12-18
CUS-0194,Sankar-Bir,ENTERPRISE,PHARMA,Delhi,17964571.01,30,LOW,2023-09-09
CUS-0195,"Iyengar, Atwal and Grewal",ENTERPRISE,MANUFACTURING,Mumbai,45731609.85,45,LOW,2023-05-19
CUS-0196,Devan-Badami,SME,BFSI,Bangalore,1582539.07,45,MEDIUM,2023-07-07
CUS-0197,Hora-Dewan,ENTERPRISE,IT,Delhi,28672675.04,30,LOW,2023-11-20
CUS-0198,Dhillon-Mangal,SME,RETAIL,Mumbai,1641426.17,60,MEDIUM,2023-09-28
CUS-0199,"Sundaram, Rajagopal and Thaman",SME,RETAIL,Bangalore,3118564.95,45,LOW,2024-08-08
CUS-0200,"Sant, Venkatesh and Khosla",STARTUP,MANUFACTURING,Mumbai,285849.16,30,MEDIUM,2022-04-09
CUS-0201,"Devi, Chawla and Deo",SME,BFSI,Hyderabad,666427.06,45,MEDIUM,2022-03-23
CUS-0202,"Sastry, Sarin and Bhagat",SME,MANUFACTURING,Hyderabad,2943638.14,45,MEDIUM,2022-06-13
CUS-0203,"Mahal, Kala and Agrawal",STARTUP,IT,Delhi,209286.64,60,MEDIUM,2024-08-03
CUS-0204,"Loke, Sheth and D’Alia",SME,RETAIL,Bangalore,2025664.83,45,MEDIUM,2024-10-28
CUS-0205,Walla Ltd,STARTUP,PHARMA,Hyderabad,340981.32,45,MEDIUM,2022-04-06
CUS-0206,"Kibe, Kapoor and Nayak",ENTERPRISE,MANUFACTURING,Delhi,19756395.74,45,MEDIUM,2022-12-05
CUS-0207,Dhar-Sen,SME,BFSI,Chennai,4602232.54,60,LOW,2024-05-21
CUS-0208,Murthy LLC,SME,MANUFACTURING,Bangalore,4104931.89,60,HIGH,2021-10-10
CUS-0209,Mandal PLC,SME,IT,Bangalore,802550.13,30,LOW,2024-08-18
CUS-0210,Cherian-Karnik,SME,PHARMA,Mumbai,4769705.88,60,MEDIUM,2024-03-11
CUS-0211,"Sura, Vohra and Baral",SME,MANUFACTURING,Delhi,1754103.95,60,LOW,2025-04-01
CUS-0212,Bhatia and Sons,SME,PHARMA,Hyderabad,1677995.04,60,LOW,2025-05-01
CUS-0213,Jha-Mutti,STARTUP,IT,Chennai,441130.52,60,LOW,2022-01-16
CUS-0214,Sunder-Pandit,STARTUP,RETAIL,Hyderabad,383816.19,30,LOW,2022-10-01
CUS-0215,Dada-Nazareth,SME,BFSI,Mumbai,3369650.1,30,LOW,2024-10-27
CUS-0216,Dani-Narasimhan,ENTERPRISE,PHARMA,Mumbai,27230987.19,60,LOW,2024-06-28
CUS-0217,"Gulati, Amble and Khalsa",STARTUP,IT,Delhi,386773.44,60,LOW,2022-08-23
CUS-0218,Sunder Ltd,ENTERPRISE,RETAIL,Mumbai,48757087.92,60,MEDIUM,2021-09-11
CUS-0219,Ghosh-Dewan,SME,BFSI,Chennai,4848190.76,60,HIGH,2023-06-25
CUS-0220,"Bal, Arya and Zacharia",ENTERPRISE,PHARMA,Hyderabad,12409568.6,30,LOW,2023-03-21
CUS-0221,"Ganguly, Balakrishnan and Chaudry",ENTERPRISE,PHARMA,Chennai,33577569.11,60,LOW,2024-04-30
CUS-0222,"Ahuja, Bhatia and Bawa",SME,PHARMA,Hyderabad,3112909.26,60,MEDIUM,2021-12-01
CUS-0223,"Raghavan, Shukla and Wagle",ENTERPRISE,RETAIL,Mumbai,43870153.62,60,MEDIUM,2024-08-03
CUS-0224,Raghavan PLC,SME,RETAIL,Delhi,2741171.27,30,LOW,2021-11-30
CUS-0225,Deep LLC,STARTUP,IT,Delhi,129189.21,45,LOW,2022-02-02
CUS-0226,Verma-Bora,SME,RETAIL,Delhi,1146509.11,30,LOW,2024-09-23
CUS-0227,"Bhakta, Chaudhuri and Choudhry",SME,IT,Mumbai,977827.7,30,LOW,2023-02-13
CUS-0228,"Kale, Goyal and Cherian",ENTERPRISE,MANUFACTURING,Hyderabad,18059540.22,60,LOW,2025-04-02
CUS-0229,Gaba-Patla,SME,RETAIL,Delhi,1217040.85,30,LOW,2023-02-14
CUS-0230,Varghese and Sons,ENTERPRISE,BFSI,Chennai,22695898.29,45,LOW,2022-04-26
CUS-0231,Singh Ltd,SME,BFSI,Delhi,3444170.17,30,LOW,2023-12-09
CUS-0232,"Deshpande, Vyas and Loyal",STARTUP,PHARMA,Bangalore,246374.94,30,LOW,2024-08-02
CUS-0233,Srivastava-Ratti,SME,PHARMA,Bangalore,2238569.71,30,LOW,2024-01-23
CUS-0234,"Narain, D’Alia and Buch",ENTERPRISE,RETAIL,Mumbai,9350666.87,30,LOW,2025-02-05
CUS-0235,Comar and Sons,SME,IT,Bangalore,681147.08,45,MEDIUM,2024-12-17
CUS-0236,Chatterjee Group,ENTERPRISE,IT,Bangalore,45190926.14,60,LOW,2023-11-19
CUS-0237,Shukla-Shankar,STARTUP,PHARMA,Hyderabad,303885.64,45,LOW,2023-09-03
CUS-0238,"Chadha, Nagar and Patel",STARTUP,BFSI,Bangalore,491959.21,45,LOW,2021-08-12
CUS-0239,"Ghosh, Raja and Varughese",ENTERPRISE,BFSI,Bangalore,34501593.75,45,LOW,2023-02-13
CUS-0240,Dada Group,ENTERPRISE,MANUFACTURING,Chennai,33306135.85,60,LOW,2022-07-20
CUS-0241,Koshy-Kala,STARTUP,MANUFACTURING,Delhi,225476.99,60,LOW,2024-01-20
CUS-0242,"Bajwa, Kibe and Hans",SME,MANUFACTURING,Bangalore,4427679.69,30,LOW,2024-12-17
CUS-0243,Sani Group,SME,IT,Bangalore,2652669.43,45,HIGH,2022-05-25
CUS-0244,Bhagat Ltd,SME,RETAIL,Bangalore,4404444.82,45,MEDIUM,2021-06-05
CUS-0245,"Kaul, Mane and Memon",ENTERPRISE,RETAIL,Hyderabad,16093361.1,60,HIGH,2025-03-16
CUS-0246,Babu LLC,ENTERPRISE,RETAIL,Hyderabad,36724471.69,30,HIGH,2024-07-29
CUS-0247,Chakraborty-Memon,SME,MANUFACTURING,Hyderabad,4530922.08,30,LOW,2024-06-11
CUS-0248,Kar-Lata,ENTERPRISE,IT,Mumbai,37136357.94,30,LOW,2023-12-04
CUS-0249,Johal Group,STARTUP,PHARMA,Mumbai,208648.59,30,LOW,2023-07-14
CUS-0250,Venkataraman-Shetty,ENTERPRISE,RETAIL,Delhi,45733288.59,30,LOW,2023-10-20
