invoice_id,customer_id,invoice_date,due_date,payment_date,invoice_amount,paid_amount,outstanding_amount,days_overdue,aging_bucket,invoice_status,product_category,region
INV-00031,CUS-0004,2023-07-24,2023-09-07,2023-09-03,7066.74,7066.74,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00032,CUS-0498,2023-10-08,2023-12-07,2023-12-03,2300.81,2300.81,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00033,CUS-0159,2024-03-05,2024-04-04,2024-03-30,2379.51,2379.51,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00034,CUS-0005,2022-10-03,2022-12-02,2022-12-30,5806.09,5806.09,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00035,CUS-0472,2024-02-02,2024-03-03,2024-03-01,1183.67,1183.67,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00036,CUS-0028,2023-08-20,2023-10-04,2023-10-23,17615.22,17615.22,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00037,CUS-0102,2023-11-10,2024-01-09,2024-01-09,1725.32,1725.32,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00038,CUS-0433,2023-07-05,2023-08-04,2023-08-20,1684.15,1684.15,0.0,0,PAID,PAID,SERVICES,EAST
INV-00039,CUS-0428,2023-09-17,2023-11-01,2023-10-31,4927.01,4927.01,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00040,CUS-0387,2022-11-14,2022-12-14,,19807.36,8460.01,11347.35,473,90+,PARTIAL,MAINTENANCE,EAST
INV-00041,CUS-0351,2023-08-28,2023-10-27,2023-10-25,2279.53,2279.53,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00042,CUS-0106,2023-10-02,2023-12-01,,860.38,316.15,544.23,121,90+,PARTIAL,SERVICES,SOUTH
INV-00043,CUS-0095,2022-04-29,2022-05-29,2022-05-24,808.79,808.79,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00044,CUS-0253,2022-09-09,2022-10-24,2022-10-19,11016.35,11016.35,0.0,0,PAID,PAID,SERVICES,WEST
INV-00045,CUS-0478,2023-08-08,2023-09-07,2023-09-05,3972.54,3972.54,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00046,CUS-0442,2022-05-24,2022-07-08,2022-07-11,2086.75,2086.75,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00047,CUS-0084,2023-07-08,2023-09-06,2023-09-01,1141.31,1141.31,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00048,CUS-0373,2022-10-18,2022-12-02,,17358.45,9593.16,7765.29,485,90+,PARTIAL,MAINTENANCE,SOUTH
INV-00049,CUS-0103,2022-06-17,2022-08-01,,1880.0,978.8,901.2,608,90+,PARTIAL,MAINTENANCE,SOUTH
INV-00050,CUS-0449,2022-12-02,2023-01-01,2022-12-31,3196.82,3196.82,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00051,CUS-0068,2023-02-01,2023-03-18,2023-03-18,5053.39,5053.39,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00052,CUS-0466,2022-08-29,2022-10-28,2022-10-24,1276.65,1276.65,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00053,CUS-0361,2023-04-16,2023-05-16,2023-05-12,5847.08,5847.08,0.0,0,PAID,PAID,SOFTWARE,WEST
INV-00054,CUS-0477,2023-09-27,2023-11-11,2023-11-08,1442.18,1442.18,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00055,CUS-0113,2023-09-25,2023-11-09,2023-11-09,10780.53,10780.53,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00056,CUS-0476,2023-11-19,2024-01-18,2024-01-15,23181.89,23181.89,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00057,CUS-0364,2024-01-11,2024-03-11,2024-03-07,171.35,171.35,0.0,0,PAID,PAID,SERVICES,EAST
INV-00058,CUS-0464,2024-03-06,2024-04-20,2024-04-17,10001.7,10001.7,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00059,CUS-0071,2023-01-06,2023-02-20,2023-02-19,14275.14,14275.14,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00060,CUS-0466,2024-03-25,2024-05-24,2024-05-21,6534.75,6534.75,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00061,CUS-0451,2023-05-19,2023-07-03,2023-07-03,124429.72,124429.72,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00062,CUS-0163,2023-02-07,2023-04-08,2023-04-06,2095.44,2095.44,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00063,CUS-0320,2022-11-15,2023-01-14,2023-01-09,3964.06,3964.06,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00064,CUS-0426,2022-05-09,2022-06-23,2022-06-19,1973.02,1973.02,0.0,0,PAID,PAID,SOFTWARE,WEST
INV-00065,CUS-0415,2022-04-06,2022-05-06,2022-05-05,7024.8,7024.8,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00066,CUS-0148,2023-03-11,2023-05-10,,30718.49,11020.14,19698.35,326,90+,PARTIAL,SOFTWARE,EAST
INV-00067,CUS-0356,2023-07-02,2023-08-16,,1782.16,0.0,1782.16,228,90+,OVERDUE,MAINTENANCE,NORTH
INV-00068,CUS-0007,2023-03-07,2023-04-21,,2725.73,1611.42,1114.31,345,90+,PARTIAL,SERVICES,NORTH
INV-00069,CUS-0277,2023-04-01,2023-05-31,2023-05-27,3385.46,3385.46,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00070,CUS-0160,2022-08-19,2022-10-03,2022-09-30,4246.32,4246.32,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00071,CUS-0065,2022-11-19,2022-12-19,2022-12-14,412.93,412.93,0.0,0,PAID,PAID,SERVICES,WEST
INV-00072,CUS-0230,2024-02-17,2024-04-02,2024-03-30,1677.84,1677.84,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00073,CUS-0312,2023-11-17,2024-01-01,2023-12-28,23695.16,23695.16,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00074,CUS-0364,2023-05-09,2023-07-08,2023-07-04,2602.05,2602.05,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00075,CUS-0250,2023-12-16,2024-01-15,2024-01-14,17633.3,17633.3,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00076,CUS-0297,2023-01-09,2023-02-23,2023-02-23,1971.2,1971.2,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00077,CUS-0192,2023-02-02,2023-03-04,2023-03-17,14158.25,14158.25,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00078,CUS-0318,2022-09-30,2022-11-29,2022-11-26,3688.76,3688.76,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00079,CUS-0037,2023-12-29,2024-01-28,2024-02-15,1374.93,1374.93,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00080,CUS-0433,2024-02-03,2024-03-04,2024-02-28,292.13,292.13,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00081,CUS-0381,2023-11-27,2023-12-27,2023-12-26,1854.36,1854.36,0.0,0,PAID,PAID,SERVICES,WEST
INV-00082,CUS-0340,2023-05-25,2023-07-24,2023-07-21,3627.2,3627.2,0.0,0,PAID,PAID,SERVICES,EAST
INV-00083,CUS-0457,2023-12-09,2024-02-07,2024-02-03,2383.02,2383.02,0.0,0,PAID,PAID,SERVICES,WEST
INV-00084,CUS-0270,2023-04-04,2023-06-03,2023-05-30,2114.43,2114.43,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00085,CUS-0045,2024-02-26,2024-04-26,2024-04-23,1065.2,1065.2,0.0,0,PAID,PAID,SERVICES,EAST
INV-00086,CUS-0103,2023-12-03,2024-01-17,2024-01-30,1197.84,1197.84,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00087,CUS-0412,2023-09-22,2023-10-22,2023-10-17,3301.06,3301.06,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00088,CUS-0394,2022-05-14,2022-06-28,2022-06-26,305.02,305.02,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00089,CUS-0402,2023-02-11,2023-03-13,,2434.7,0.0,2434.7,384,90+,OVERDUE,HARDWARE,NORTH
INV-00090,CUS-0200,2022-04-27,2022-05-27,,10938.35,5345.22,5593.13,674,90+,PARTIAL,MAINTENANCE,NORTH
INV-00091,CUS-0315,2023-03-19,2023-05-18,2023-05-17,1884.32,1884.32,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00092,CUS-0420,2024-03-19,2024-05-03,2024-04-30,1577.86,1577.86,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00093,CUS-0491,2023-07-25,2023-09-08,2023-09-05,3644.01,3644.01,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00094,CUS-0403,2022-10-28,2022-12-12,2022-12-08,13194.68,13194.68,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00095,CUS-0226,2022-10-23,2022-11-22,2022-11-17,1778.3,1778.3,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00096,CUS-0209,2022-05-03,2022-06-02,,2454.33,0.0,2454.33,668,90+,OVERDUE,MAINTENANCE,EAST
INV-00097,CUS-0094,2022-04-13,2022-06-12,2022-06-09,1437.5,1437.5,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00098,CUS-0146,2023-01-07,2023-02-21,2023-03-11,8315.28,8315.28,0.0,0,PAID,PAID,SERVICES,EAST
INV-00099,CUS-0135,2023-08-03,2023-09-02,,7771.18,3190.87,4580.31,211,90+,PARTIAL,SOFTWARE,WEST
INV-00100,CUS-0022,2023-06-01,2023-07-31,2023-08-19,9500.13,9500.13,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00101,CUS-0235,2023-09-23,2023-11-07,2023-11-07,7805.53,7805.53,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00102,CUS-0275,2023-08-31,2023-10-15,,6501.65,0.0,6501.65,168,90+,OVERDUE,SERVICES,EAST
INV-00103,CUS-0460,2023-03-28,2023-05-12,2023-05-09,27672.2,27672.2,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00104,CUS-0199,2022-04-25,2022-06-09,,7628.33,3688.6,3939.73,661,90+,PARTIAL,MAINTENANCE,NORTH
INV-00105,CUS-0458,2023-06-23,2023-07-23,2023-07-21,8215.09,8215.09,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00106,CUS-0217,2022-10-03,2022-12-02,2022-12-01,2619.2,2619.2,0.0,0,PAID,PAID,SERVICES,WEST
INV-00107,CUS-0200,2022-09-27,2022-10-27,2022-10-27,1971.57,1971.57,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00108,CUS-0211,2023-07-03,2023-09-01,2023-08-27,3504.05,3504.05,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00109,CUS-0100,2022-12-28,2023-01-27,2023-01-25,6669.74,6669.74,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00110,CUS-0143,2023-03-05,2023-04-19,,577.65,0.0,577.65,347,90+,OVERDUE,SOFTWARE,WEST
INV-00111,CUS-0180,2023-01-20,2023-02-19,2023-02-18,3552.34,3552.34,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00112,CUS-0236,2023-09-05,2023-11-04,2023-11-03,11101.9,11101.9,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00113,CUS-0106,2023-03-18,2023-05-17,2023-05-17,1314.87,1314.87,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00114,CUS-0237,2024-01-10,2024-02-24,2024-02-22,534.86,534.86,0.0,0,PAID,PAID,SERVICES,WEST
INV-00115,CUS-0372,2022-04-14,2022-05-14,2022-05-10,894.73,894.73,0.0,0,PAID,PAID,SERVICES,WEST
INV-00116,CUS-0013,2024-03-20,2024-04-19,2024-04-24,29072.14,29072.14,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00117,CUS-0299,2022-08-19,2022-10-18,,1375.13,0.0,1375.13,530,90+,OVERDUE,HARDWARE,EAST
INV-00118,CUS-0104,2023-04-11,2023-06-10,2023-06-05,2235.46,2235.46,0.0,0,PAID,PAID,SOFTWARE,WEST
INV-00119,CUS-0195,2023-03-21,2023-05-05,2023-05-02,8146.4,8146.4,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00120,CUS-0012,2022-06-20,2022-08-04,2022-08-01,28502.62,28502.62,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00121,CUS-0288,2022-09-25,2022-11-24,2022-11-22,4550.97,4550.97,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00122,CUS-0081,2023-04-22,2023-05-22,2023-06-11,1750.07,1750.07,0.0,0,PAID,PAID,SERVICES,EAST
INV-00123,CUS-0286,2023-01-21,2023-03-07,2023-03-06,1643.63,1643.63,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00124,CUS-0328,2022-04-28,2022-06-12,2022-06-21,1596.07,1596.07,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00125,CUS-0393,2024-02-05,2024-03-21,,10421.94,5986.41,4435.53,10,CURRENT,PARTIAL,HARDWARE,EAST
INV-00126,CUS-0084,2024-03-28,2024-05-27,2024-05-23,5912.59,5912.59,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00127,CUS-0165,2023-11-29,2023-12-29,2023-12-24,826.65,826.65,0.0,0,PAID,PAID,SOFTWARE,WEST
INV-00128,CUS-0310,2023-07-06,2023-08-20,2023-08-17,6351.04,6351.04,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00129,CUS-0348,2024-02-08,2024-03-09,2024-03-05,917.59,917.59,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00130,CUS-0011,2023-12-18,2024-02-16,2024-02-16,1415.32,1415.32,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00131,CUS-0230,2023-09-03,2023-10-18,2023-10-18,37165.36,37165.36,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00132,CUS-0420,2024-02-28,2024-04-13,2024-04-09,2433.51,2433.51,0.0,0,PAID,PAID,SERVICES,EAST
INV-00133,CUS-0396,2023-07-07,2023-08-21,2023-08-19,7980.77,7980.77,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00134,CUS-0172,2023-04-02,2023-05-17,2023-05-12,17003.45,17003.45,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00135,CUS-0045,2023-05-29,2023-07-28,2023-07-26,1612.54,1612.54,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00136,CUS-0049,2023-12-06,2024-01-20,,1346.88,904.33,442.55,71,61-90,PARTIAL,MAINTENANCE,WEST
INV-00137,CUS-0268,2022-09-20,2022-10-20,2022-10-20,1312.57,1312.57,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00138,CUS-0285,2024-02-12,2024-03-28,2024-03-26,627.3,627.3,0.0,0,PAID,PAID,SERVICES,EAST
INV-00139,CUS-0372,2023-10-25,2023-11-24,2023-11-21,10057.23,10057.23,0.0,0,PAID,PAID,SERVICES,WEST
INV-00140,CUS-0119,2023-01-14,2023-02-13,2023-02-13,3727.99,3727.99,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00141,CUS-0115,2022-07-04,2022-09-02,,1788.09,0.0,1788.09,576,90+,OVERDUE,HARDWARE,SOUTH
INV-00142,CUS-0056,2023-08-19,2023-09-18,2023-09-18,3412.6,3412.6,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00143,CUS-0300,2023-08-01,2023-08-31,2023-08-31,2811.52,2811.52,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00144,CUS-0495,2023-11-21,2024-01-20,2024-01-19,18073.31,18073.31,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00145,CUS-0372,2023-12-29,2024-01-28,2024-01-23,4111.26,4111.26,0.0,0,PAID,PAID,SERVICES,WEST
INV-00146,CUS-0407,2023-06-25,2023-08-24,2023-08-23,1037.47,1037.47,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00147,CUS-0219,2023-06-01,2023-07-31,,4926.61,0.0,4926.61,244,90+,OVERDUE,SERVICES,WEST
INV-00148,CUS-0153,2022-06-16,2022-08-15,2022-08-11,459.35,459.35,0.0,0,PAID,PAID,SERVICES,WEST
INV-00149,CUS-0058,2023-02-02,2023-04-03,,882.17,0.0,882.17,363,90+,OVERDUE,SOFTWARE,WEST
INV-00150,CUS-0409,2022-05-23,2022-06-22,2022-07-13,4828.95,4828.95,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00151,CUS-0494,2022-04-11,2022-06-10,2022-06-18,885.26,885.26,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00152,CUS-0122,2023-02-22,2023-04-08,2023-04-06,33834.15,33834.15,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00153,CUS-0206,2023-02-14,2023-03-31,2023-03-30,7533.24,7533.24,0.0,0,PAID,PAID,SERVICES,EAST
INV-00154,CUS-0025,2024-01-16,2024-02-15,2024-02-10,5222.67,5222.67,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00155,CUS-0451,2023-03-06,2023-04-20,2023-04-17,30453.03,30453.03,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00156,CUS-0032,2022-10-12,2022-12-11,2022-12-10,4856.89,4856.89,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00157,CUS-0450,2022-08-23,2022-10-22,2022-10-17,15950.9,15950.9,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00158,CUS-0121,2022-07-29,2022-09-12,2022-09-09,140663.16,140663.16,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00159,CUS-0329,2023-06-09,2023-08-08,2023-08-26,22373.03,22373.03,0.0,0,PAID,PAID,SERVICES,WEST
INV-00160,CUS-0470,2024-01-12,2024-03-12,2024-03-18,498.88,498.88,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00161,CUS-0331,2023-07-30,2023-09-28,2023-09-24,19223.13,19223.13,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00162,CUS-0153,2023-06-27,2023-08-26,2023-08-26,1927.12,1927.12,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00163,CUS-0474,2023-05-19,2023-07-18,2023-07-18,7504.49,7504.49,0.0,0,PAID,PAID,SERVICES,EAST
INV-00164,CUS-0471,2023-09-26,2023-11-10,2023-11-05,10532.97,10532.97,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00165,CUS-0069,2023-11-23,2024-01-22,2024-01-19,36421.06,36421.06,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00166,CUS-0450,2022-11-05,2023-01-04,2023-01-01,7347.09,7347.09,0.0,0,PAID,PAID,SERVICES,WEST
INV-00167,CUS-0142,2023-04-03,2023-05-03,2023-05-30,25045.74,25045.74,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00168,CUS-0073,2023-01-14,2023-02-13,2023-02-13,18204.03,18204.03,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00169,CUS-0325,2022-06-03,2022-07-03,2022-07-12,1559.12,1559.12,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00170,CUS-0143,2023-07-07,2023-08-21,,7217.36,0.0,7217.36,223,90+,OVERDUE,SOFTWARE,WEST
INV-00171,CUS-0267,2023-10-26,2023-12-10,2023-12-25,3183.34,3183.34,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00172,CUS-0016,2024-03-29,2024-05-28,2024-05-28,853.4,853.4,0.0,0,PAID,PAID,SOFTWARE,WEST
INV-00173,CUS-0497,2022-07-10,2022-08-09,2022-08-19,955.02,955.02,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00174,CUS-0129,2022-04-25,2022-05-25,2022-05-21,6505.74,6505.74,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00175,CUS-0169,2022-07-18,2022-08-17,2022-08-16,315.76,315.76,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00176,CUS-0049,2022-09-09,2022-10-24,,3557.55,0.0,3557.55,524,90+,OVERDUE,SOFTWARE,WEST
INV-00177,CUS-0419,2023-03-21,2023-05-20,2023-05-19,7114.15,7114.15,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00178,CUS-0251,2023-09-28,2023-11-27,2023-11-27,7804.45,7804.45,0.0,0,PAID,PAID,HARDWARE,WEST
INV-00179,CUS-0267,2022-11-26,2023-01-10,2023-01-10,399.98,399.98,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00180,CUS-0234,2022-06-05,2022-07-05,2022-07-01,96820.53,96820.53,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00181,CUS-0462,2022-06-30,2022-08-29,2022-08-28,2416.35,2416.35,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00182,CUS-0078,2022-10-02,2022-11-16,2022-11-12,6374.05,6374.05,0.0,0,PAID,PAID,SERVICES,WEST
INV-00183,CUS-0462,2023-12-14,2024-02-12,2024-02-09,616.12,616.12,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00184,CUS-0146,2022-09-27,2022-11-11,2022-11-27,21452.51,21452.51,0.0,0,PAID,PAID,MAINTENANCE,EAST
INV-00185,CUS-0091,2023-05-13,2023-06-12,2023-06-11,13689.87,13689.87,0.0,0,PAID,PAID,SERVICES,EAST
INV-00186,CUS-0254,2023-04-02,2023-05-17,2023-05-13,637.94,637.94,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00187,CUS-0361,2022-11-08,2022-12-08,2023-01-04,4754.54,4754.54,0.0,0,PAID,PAID,SERVICES,EAST
INV-00188,CUS-0186,2023-04-28,2023-06-12,2023-06-07,68795.74,68795.74,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00189,CUS-0353,2022-07-09,2022-08-08,2022-08-06,43037.07,43037.07,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00190,CUS-0383,2023-06-26,2023-07-26,,1232.04,635.22,596.82,249,90+,PARTIAL,MAINTENANCE,SOUTH
INV-00191,CUS-0162,2024-01-18,2024-02-17,2024-02-14,505.31,505.31,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00192,CUS-0201,2024-01-31,2024-03-16,2024-03-14,1354.11,1354.11,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00193,CUS-0224,2023-07-31,2023-08-30,2023-08-29,805.53,805.53,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00194,CUS-0315,2022-07-15,2022-09-13,2022-09-12,1977.56,1977.56,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00195,CUS-0061,2022-10-28,2022-12-27,,134.95,68.87,66.08,460,90+,PARTIAL,SERVICES,NORTH
INV-00196,CUS-0252,2023-06-25,2023-07-25,2023-08-14,29183.99,29183.99,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00197,CUS-0207,2023-10-01,2023-11-30,2023-11-30,3538.96,3538.96,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00198,CUS-0050,2023-05-29,2023-07-13,2023-07-10,11165.44,11165.44,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00199,CUS-0160,2024-02-16,2024-04-01,2024-03-27,4636.65,4636.65,0.0,0,PAID,PAID,HARDWARE,EAST
